panel,t_sec,basis,x_bin,y_bin,N,U,L,n,leader_loss_rate
primary,5,raw_twap,"[8,infinity)","[-2,0)",141,0,0,141,0
primary,5,raw_twap,"[8,infinity)","[0,2)",175,0,0,175,0
primary,5,raw_twap,"[8,infinity)",>=2,136,0,0,136,0
primary,5,projected_close,"[0,1)",<-2,7,0,0,7,0
primary,5,projected_close,"[0,1)","[-2,0)",110,0,1,110,0.0090909090909090909090909090909090909090909090909090909090909090909090909090909091
primary,5,projected_close,"[0,1)","[0,2)",110,0,1,110,0.0090909090909090909090909090909090909090909090909090909090909090909090909090909091
primary,5,projected_close,"[0,1)",>=2,16,0,0,16,0
primary,5,projected_close,"[1,2)",<-2,27,0,0,27,0
primary,5,projected_close,"[1,2)","[-2,0)",107,0,0,107,0
primary,5,projected_close,"[1,2)","[0,2)",116,0,0,116,0
primary,5,projected_close,"[1,2)",>=2,10,0,0,10,0
primary,5,projected_close,"[2,4)",<-2,29,0,0,29,0
primary,5,projected_close,"[2,4)","[-2,0)",150,0,0,150,0
primary,5,projected_close,"[2,4)","[0,2)",182,0,0,182,0
primary,5,projected_close,"[2,4)",>=2,29,0,0,29,0
primary,5,projected_close,"[4,8)",<-2,41,0,0,41,0
primary,5,projected_close,"[4,8)","[-2,0)",175,0,0,175,0
primary,5,projected_close,"[4,8)","[0,2)",219,0,0,219,0
primary,5,projected_close,"[4,8)",>=2,65,0,0,65,0
primary,5,projected_close,"[8,infinity)",<-2,65,0,0,65,0
primary,5,projected_close,"[8,infinity)","[-2,0)",157,0,0,157,0
primary,5,projected_close,"[8,infinity)","[0,2)",202,0,0,202,0
primary,5,projected_close,"[8,infinity)",>=2,108,0,0,108,0
primary,3,raw_twap,"[0,1)",<-2,14,0,8,14,0.57142857142857142857142857142857142857142857142857142857142857142857142857142857
primary,3,raw_twap,"[0,1)","[-2,0)",103,0,8,103,0.077669902912621359223300970873786407766990291262135922330097087378640776699029126
primary,3,raw_twap,"[0,1)","[0,2)",112,0,2,112,0.017857142857142857142857142857142857142857142857142857142857142857142857142857143
primary,3,raw_twap,"[0,1)",>=2,26,0,0,26,0
primary,3,raw_twap,"[1,2)",<-2,36,0,0,36,0
primary,3,raw_twap,"[1,2)","[-2,0)",96,0,0,96,0
primary,3,raw_twap,"[1,2)","[0,2)",102,0,0,102,0
primary,3,raw_twap,"[1,2)",>=2,17,0,0,17,0
primary,3,raw_twap,"[2,4)",<-2,40,0,0,40,0
primary,3,raw_twap,"[2,4)","[-2,0)",137,0,0,137,0
primary,3,raw_twap,"[2,4)","[0,2)",181,0,0,181,0
primary,3,raw_twap,"[2,4)",>=2,36,0,0,36,0
primary,3,raw_twap,"[4,8)",<-2,53,0,0,53,0
primary,3,raw_twap,"[4,8)","[-2,0)",166,0,0,166,0
