t_sec,x_bin,y_bin,ask_band,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high,median_bid,median_ask,ask_eq_0_N,ask_eq_1_N
10,"[2,4)",<-2,"[0.98,1)",5,0,0,5,0,0,0.434482464783174761084782871525556271809021898883564142795326,0.98000000,0.99000000,0,0
10,"[2,4)",<-2,ask=1,128,1,0,127,0,0,0.0293596452937633622931293866534649823448394957439820136137162,0.99000000,1.00000000,0,128
10,"[2,4)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
10,"[2,4)","[-2,0)","(0,0.90)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.49000000,0.50000000,0,0
10,"[2,4)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[2,4)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[2,4)","[-2,0)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99500000,0.99900000,0,0
10,"[2,4)","[-2,0)",ask=1,488,0,0,488,0,1E-62,0.00781035992757692363572533304487993586029902097007229336775331,0.99000000,1.00000000,0,488
10,"[2,4)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
10,"[2,4)","[0,2)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[2,4)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[2,4)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[2,4)","[0,2)","[0.98,1)",0,0,0,0,,,,,,0,0
10,"[2,4)","[0,2)",ask=1,580,0,0,580,0,0,0.00657962664805188277695281146683910659354007173294789505342802,0.99000000,1.00000000,0,580
10,"[2,4)",>=2,ask=0,0,0,0,0,,,,,,0,0
10,"[2,4)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[2,4)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[2,4)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[2,4)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[2,4)",>=2,ask=1,160,0,0,160,0,0,0.0234461951715051901176366347595152633843440276828788110351402,0.99000000,1.00000000,0,160
10,"[4,8)",<-2,ask=0,0,0,0,0,,,,,,0,0
10,"[4,8)",<-2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[4,8)",<-2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[4,8)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[4,8)",<-2,"[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.99000000,0.99900000,0,0
10,"[4,8)",<-2,ask=1,200,1,0,199,0,0,0.0189382330566349430745843533132211436134483755122039455629270,0.99000000,1.00000000,0,200
10,"[4,8)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
10,"[4,8)","[-2,0)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[4,8)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[4,8)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[4,8)","[-2,0)","[0.98,1)",0,0,0,0,,,,,,0,0
10,"[4,8)","[-2,0)",ask=1,596,2,0,594,0,1E-62,0.00642554771673381636551817288608426657178557102053814943585883,0.99000000,1.00000000,0,596
10,"[4,8)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
10,"[4,8)","[0,2)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[4,8)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[4,8)","[0,2)","[0.95,0.98)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.94000000,0.96000000,0,0
10,"[4,8)","[0,2)","[0.98,1)",0,0,0,0,,,,,,0,0
10,"[4,8)","[0,2)",ask=1,697,1,0,696,0,0,0.00548904151401287934630713080086367734031299318570608225748354,0.99000000,1.00000000,0,697
10,"[4,8)",>=2,ask=0,0,0,0,0,,,,,,0,0
10,"[4,8)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[4,8)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[4,8)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[4,8)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[4,8)",>=2,ask=1,261,4,0,257,0,0,0.0147271788697317274556551294995552380757890792526123359497250,0.99000000,1.00000000,0,261
10,"[8,infinity)",<-2,ask=0,0,0,0,0,,,,,,0,0
10,"[8,infinity)",<-2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",<-2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",<-2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",<-2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",<-2,ask=1,410,1,0,409,0,0,0.00930492502295548945302403002365986899833395950213918851802341,0.99000000,1.00000000,0,410
10,"[8,infinity)","[-2,0)",ask=0,0,0,0,0,,,,,,0,0
10,"[8,infinity)","[-2,0)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[-2,0)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[-2,0)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[-2,0)","[0.98,1)",2,0,0,2,0,0,0.657619772493346908066213171022805867761678469589830388837810,0.99300000,0.99900000,0,0
10,"[8,infinity)","[-2,0)",ask=1,519,3,0,516,0,1E-62,0.00738967382364771518882671491089388665038053672600930897298425,0.99000000,1.00000000,0,519
10,"[8,infinity)","[0,2)",ask=0,0,0,0,0,,,,,,0,0
10,"[8,infinity)","[0,2)","(0,0.90)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[0,2)","[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[0,2)","[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[8,infinity)","[0,2)","[0.98,1)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.95000000,0.99000000,0,0
10,"[8,infinity)","[0,2)",ask=1,661,5,0,656,0,0,0.00582179062764530880663289616567690286299392015273215666410433,0.99000000,1.00000000,0,661
10,"[8,infinity)",>=2,ask=0,0,0,0,0,,,,,,0,0
10,"[8,infinity)",>=2,"(0,0.90)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",>=2,"[0.90,0.95)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",>=2,"[0.95,0.98)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",>=2,"[0.98,1)",0,0,0,0,,,,,,0,0
10,"[8,infinity)",>=2,ask=1,635,5,0,630,0,0,0.00606059885675737411166086410883943469107993581116976443242717,0.99000000,1.00000000,0,635
5,"[0,1)",<-2,ask=0,0,0,0,0,,,,,,0,0
5,"[0,1)",<-2,"(0,0.90)",39,0,36,39,0.923076923076923076923076923076923076923076923076923076923077,0.796789288320450082067924631080440164047640737162384993721098,0.973492604696220260484057045881062832430415576082679078697326,0E-8,0.01000000,0,0
5,"[0,1)",<-2,"[0.90,0.95)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.92200000,0.94000000,0,0
5,"[0,1)",<-2,"[0.95,0.98)",1,0,0,1,0,0,0.793450685622762572644686990659235135454905747938657255997644,0.84000000,0.95000000,0,0
