utc_market_start_date,t_sec,subset,all_market_rows,N,U,n,projected_correct,projected_errors,projected_accuracy,projected_ties,twap_correct,twap_errors,twap_accuracy,twap_ties,spot_correct,spot_errors,spot_accuracy,spot_ties,both_correct,both_wrong,projected_improves_twap_count,projected_worsens_twap_count
2026-09-06,3,primary_600s,288,276,0,276,275,1,0.99637681159420289855072463768115942028985507246376811594202898550724637681159420,0,273,3,0.98913043478260869565217391304347826086956521739130434782608695652173913043478261,0,257,19,0.93115942028985507246376811594202898550724637681159420289855072463768115942028986,0,273,1,2,0
2026-09-06,3,fresh_3s,288,276,0,276,275,1,0.99637681159420289855072463768115942028985507246376811594202898550724637681159420,0,273,3,0.98913043478260869565217391304347826086956521739130434782608695652173913043478261,0,257,19,0.93115942028985507246376811594202898550724637681159420289855072463768115942028986,0,273,1,2,0
2026-09-07,60,primary_600s,288,276,0,276,241,35,0.87318840579710144927536231884057971014492753623188405797101449275362318840579710,0,228,48,0.82608695652173913043478260869565217391304347826086956521739130434782608695652174,0,241,35,0.87318840579710144927536231884057971014492753623188405797101449275362318840579710,0,218,25,23,10
2026-09-07,60,fresh_3s,288,273,0,273,238,35,0.87179487179487179487179487179487179487179487179487179487179487179487179487179487,0,227,46,0.83150183150183150183150183150183150183150183150183150183150183150183150183150183,0,238,35,0.87179487179487179487179487179487179487179487179487179487179487179487179487179487,0,217,25,21,10
2026-09-07,30,primary_600s,288,276,0,276,272,4,0.98550724637681159420289855072463768115942028985507246376811594202898550724637681,0,244,32,0.88405797101449275362318840579710144927536231884057971014492753623188405797101449,0,269,7,0.97463768115942028985507246376811594202898550724637681159420289855072463768115942,0,243,3,29,1
2026-09-07,30,fresh_3s,288,272,0,272,268,4,0.98529411764705882352941176470588235294117647058823529411764705882352941176470588,0,241,31,0.88602941176470588235294117647058823529411764705882352941176470588235294117647059,0,265,7,0.97426470588235294117647058823529411764705882352941176470588235294117647058823529,0,240,3,28,1
2026-09-07,15,primary_600s,288,276,0,276,275,1,0.99637681159420289855072463768115942028985507246376811594202898550724637681159420,0,261,15,0.94565217391304347826086956521739130434782608695652173913043478260869565217391304,0,264,12,0.95652173913043478260869565217391304347826086956521739130434782608695652173913043,0,261,1,14,0
2026-09-07,15,fresh_3s,288,270,0,270,269,1,0.99629629629629629629629629629629629629629629629629629629629629629629629629629630,0,255,15,0.94444444444444444444444444444444444444444444444444444444444444444444444444444444,0,258,12,0.95555555555555555555555555555555555555555555555555555555555555555555555555555556,0,255,1,14,0
2026-09-07,10,primary_600s,288,276,0,276,276,0,1,0,267,9,0.96739130434782608695652173913043478260869565217391304347826086956521739130434783,0,265,11,0.96014492753623188405797101449275362318840579710144927536231884057971014492753623,0,267,0,9,0
2026-09-07,10,fresh_3s,288,273,0,273,273,0,1,0,264,9,0.96703296703296703296703296703296703296703296703296703296703296703296703296703297,0,262,11,0.95970695970695970695970695970695970695970695970695970695970695970695970695970696,0,264,0,9,0
2026-09-07,5,primary_600s,288,276,0,276,276,0,1,0,270,6,0.97826086956521739130434782608695652173913043478260869565217391304347826086956522,0,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,270,0,6,0
2026-09-07,5,fresh_3s,288,273,0,273,273,0,1,0,267,6,0.97802197802197802197802197802197802197802197802197802197802197802197802197802198,0,259,14,0.94871794871794871794871794871794871794871794871794871794871794871794871794871795,0,267,0,6,0
2026-09-07,3,primary_600s,288,276,0,276,276,0,1,0,271,5,0.98188405797101449275362318840579710144927536231884057971014492753623188405797101,0,262,14,0.94927536231884057971014492753623188405797101449275362318840579710144927536231884,0,271,0,5,0
2026-09-07,3,fresh_3s,288,274,0,274,274,0,1,0,269,5,0.98175182481751824817518248175182481751824817518248175182481751824817518248175182,0,260,14,0.94890510948905109489051094890510948905109489051094890510948905109489051094890511,0,269,0,5,0
