t_sec,leader,x_bin,y_bin,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
15,Up,"[0,1)","[-2,0)",228,0,68,228,0.298245614035087719298245614035087719298245614035087719298246,0.242605018548984983438262448334225767903143243764534358541267,0.360572081578077807053332892553065472986770009939791633814749
15,Up,"[0,1)","[0,2)",240,0,7,240,0.0291666666666666666666666666666666666666666666666666666666667,0.0141987306725002599441856430446408199344712263181683767168037,0.0589695439391342879529032481068639831900316556277791158392425
15,Up,"[0,1)",>=2,43,1,0,42,0,1E-61,0.0837987908657039155820891979759801121544070253800093089929563
15,Up,"[1,2)",<-2,35,0,12,35,0.342857142857142857142857142857142857142857142857142857142857,0.208316949870489591461060097341272179963264597056094351490262,0.508480504860037390755973763816250042751831555925060929783634
15,Up,"[1,2)","[-2,0)",146,0,2,146,0.0136986301369863013698630136986301369863013698630136986301370,0.0037647324979477783603988675199159085654718302865240900974794,0.0485669711734473790394243752665001209919282461594524031212730
15,Up,"[1,2)","[0,2)",189,1,0,188,0,0,0.0200241326578139173855221992182628421418761324651039342189260
15,Up,"[1,2)",>=2,44,0,0,44,0,0,0.0802956037584806626166952308778981439265432201360044951705709
15,Up,"[2,4)",<-2,76,0,9,76,0.118421052631578947368421052631578947368421052631578947368421,0.0635681900417906676132691217759667744749890555236445300486984,0.209992177507919390845661722448755355753490962225728663163626
15,Up,"[2,4)","[-2,0)",257,0,1,257,0.00389105058365758754863813229571984435797665369649805447470817,0.0006871965081303865702880831507848873290699770977025896497258,0.0217074751330431173254008585705636951974911715770684051642036
15,Up,"[2,4)","[0,2)",289,0,0,289,0,0,0.0131178789921485734897001834379667160402700217382187701294359
15,Up,"[2,4)",>=2,78,1,0,77,0,0,0.0475184252824340770166203434103553291498538565761673835857880
