t_sec,utc_market_start_date,N,U,L,resolved,loss_rate,wilson_95_low,wilson_95_high
90,2026-08-17,273,1,46,272,0.169117647058823529411764705882352941176470588235294117647059,0.129249590103474564133501510147989415556042262064301851940947,0.218201656820919694064423491216587938544251240801488254821887
90,2026-08-18,258,0,35,258,0.135658914728682170542635658914728682170542635658914728682171,0.0991852408428413159267956802463134390289392872045986109101320,0.182823036812149393574973145937615442109864019843414835496738
90,2026-08-19,253,0,41,253,0.162055335968379446640316205533596837944664031620553359683794,0.121760651635694564353851862559750568738910753783449336488014,0.212458984146010247015419255607810169115343295930465020136106
90,2026-08-20,270,4,41,266,0.154135338345864661654135338345864661654135338345864661654135,0.115696670093611914645958951294790422583895795910614985893312,0.202421454511304981054611141612837449810981233637729090392256
90,2026-08-21,253,21,47,232,0.202586206896551724137931034482758620689655172413793103448276,0.155906177453441959274048757324766855786278863216211881292825,0.258954972532410047019173154639150240018499198982299424282627
90,2026-08-22,269,0,41,269,0.152416356877323420074349442379182156133828996282527881040892,0.114382158026557790039278825839481742068382091666558372935710,0.200238131689410161020339988785161710631574428251806539128110
90,2026-08-23,268,0,37,268,0.138059701492537313432835820895522388059701492537313432835821,0.101849229097511249457070407240798476998816079185965854767335,0.184499509459097719254739729295419233888623126001315568112065
90,2026-08-24,268,0,48,268,0.179104477611940298507462686567164179104477611940298507462687,0.137832748570839657755871406346654093690200997784996727296638,0.229445514479349737184496343572054392251239947020221853812934
90,2026-08-25,269,0,49,269,0.182156133828996282527881040892193308550185873605947955390335,0.140614717769733434011328289985655606215428039375474543732523,0.232647686195135654925542390767360599194692628571265563021025
90,2026-08-26,275,0,47,275,0.170909090909090909090909090909090909090909090909090909090909,0.131028027483331308378255130371473208087231262613489333710994,0.219857594886081048507545003926221567576119506492608851808122
90,2026-08-27,275,0,47,275,0.170909090909090909090909090909090909090909090909090909090909,0.131028027483331308378255130371473208087231262613489333710994,0.219857594886081048507545003926221567576119506492608851808122
90,2026-08-28,273,0,46,273,0.168498168498168498168498168498168498168498168498168498168498,0.128766605677986557079465229880060218472859825069222353600741,0.217429586283164522333914874045082748599786816262610998791779
90,2026-08-29,266,0,37,266,0.139097744360902255639097744360902255639097744360902255639098,0.102628453943885126446768175263345557384704423532290966240032,0.185842632600375982110348443422874831201254215996415895970998
90,2026-08-30,271,0,40,271,0.147601476014760147601476014760147601476014760147601476014760,0.110303966180593036148474934093292801640274536456516846928770,0.194749933549258425008377418282802961533107460937774865314978
90,2026-08-31,275,0,47,275,0.170909090909090909090909090909090909090909090909090909090909,0.131028027483331308378255130371473208087231262613489333710994,0.219857594886081048507545003926221567576119506492608851808122
90,2026-09-01,269,0,43,269,0.159851301115241635687732342007434944237918215613382899628253,0.120893520791252624446112524930972546432751538334304422307793,0.208387297486940611082819256225764094444746018591154288428461
90,2026-09-02,269,0,34,269,0.126394052044609665427509293680297397769516728624535315985130,0.0918760484122897878952484586915065058275188791785247393023923,0.171432391335889667521774973070810788251044011215011877407918
90,2026-09-03,272,0,47,272,0.172794117647058823529411764705882352941176470588235294117647,0.132502903772590745180908517261990400294692634301491514112494,0.222198884852643576814817317420758316537819829643567591464086
90,2026-09-04,268,0,46,268,0.171641791044776119402985074626865671641791044776119402985075,0.131218348366173104826155699474654803699348475953453920411902,0.221345455685183485345383393465418995868637607103048813746730
90,2026-09-05,277,0,50,277,0.180505415162454873646209386281588447653429602888086642599278,0.139682117250382823929023815852821717901163912189724549026973,0.230069055730785467985455571938124411445404756662181617859499
90,2026-09-06,274,0,47,274,0.171532846715328467153284671532846715328467153284671532846715,0.131515987546027547044960337825426565858190859539056809845871,0.220632533542167659007526552167419858286052522755856119965927
90,2026-09-07,272,0,55,272,0.202205882352941176470588235294117647058823529411764705882353,0.158773907879844558201632546617446248366775509991750987386595,0.253932214352110274176499954610673370323488642587460108699957
90,2026-09-08,266,0,53,266,0.199248120300751879699248120300751879699248120300751879699248,0.155679243687265493675096030403296547785618504723909088619076,0.251379995099618763455834485168553776036013694883346629890114
90,2026-09-09,242,0,45,242,0.185950413223140495867768595041322314049586776859504132231405,0.141976220493693112982745010459581544151747545449827127108306,0.239739130817893148346641757362226015061470556711437496234824
90,2026-09-10,267,0,43,267,0.161048689138576779026217228464419475655430711610486891385768,0.121816848011875531567448685185877796976273012676594047319600,0.209895509512280692748464549694323771951609733074873018806412
90,2026-09-11,280,0,51,280,0.182142857142857142857142857142857142857142857142857142857143,0.141338183938506295911254057277087864673597690947402979261368,0.231551172184608112473558300453743421529047262553182705499112
90,2026-09-12,243,0,51,243,0.209876543209876543209876543209876543209876543209876543209877,0.163390771853859585816351486135579449970449375054143389951954,0.265392380402494008822894038344622616516995579556200016552816
120,2026-08-16,257,0,59,257,0.229571984435797665369649805447470817120622568093385214007782,0.182362456421487790944774266480635963295097184468758323193676,0.284746795963308746472875784104726597376243990691214885744112
120,2026-08-17,268,1,54,267,0.202247191011235955056179775280898876404494382022471910112360,0.158447072314498726989824674155334948157799791784508190271262,0.254493617444290442436861537700753722889345824649101000414020
120,2026-08-18,258,0,39,258,0.151162790697674418604651162790697674418604651162790697674419,0.112592376036888916682576207399868823394081115963747342174289,0.199968740866825592414862030435807764930305029082222978853565
120,2026-08-19,258,0,57,258,0.220930232558139534883720930232558139534883720930232558139535,0.174606942444807822637310615484504045446095112768047620245520,0.275441951078163784640639974784037225213413803268728636576764
120,2026-08-20,269,4,58,265,0.218867924528301886792452830188679245283018867924528301886792,0.173296278195672166721657008980424927814750640062121024031337,0.272473728210308936315154266959570308453892829879658698161537
120,2026-08-21,255,22,53,233,0.227467811158798283261802575107296137339055793991416309012876,0.178318229236628192644787259317572280612216152272824252686395,0.285458084959493791386918038038504010131242103693073756550045
120,2026-08-22,266,0,50,266,0.187969924812030075187969924812030075187969924812030075187970,0.145585992419294715668168211000769115692648052543540341359219,0.239237967822097701105172198905025595272295354548987466594067
120,2026-08-23,270,0,49,270,0.181481481481481481481481481481481481481481481481481481481481,0.140082763996959727526976920859738862368078705831863704979356,0.231816579730163280026739259083066975861929799782714114445522
120,2026-08-24,272,0,65,272,0.238970588235294117647058823529411764705882352941176470588235,0.192148783418218985270475003791253795944395080651494593051702,0.293062755822136485085665830618579450068058682720406491172312
120,2026-08-25,274,0,59,274,0.215328467153284671532846715328467153284671532846715328467153,0.170771314621742629140967701769199762601888161996615957325184,0.267757403654693216104520936224600471656456102658975248511708
120,2026-08-26,270,0,54,270,0.2,0.156645852416145227698079783899705984319551464506931111296475,0.251770971326842721276931966976657654013363523339357300022307
120,2026-08-27,276,0,62,276,0.224637681159420289855072463768115942028985507246376811594203,0.179374373610742793932911475461443311763108131579454122594126,0.277460933635877084202536676751850406371796860012701223484946
120,2026-08-28,275,0,50,275,0.181818181818181818181818181818181818181818181818181818181818,0.140719628931310456162392842897827584835161064148634735890316,0.231683597116463922042110049378949131966421171174940857843636
120,2026-08-29,269,0,50,269,0.185873605947955390334572490706319702602230483271375464684015,0.143926856892797902574352479389607997463305880947580152440108,0.236665811353183828597174684629454802035585305502706853649656
120,2026-08-30,276,0,61,276,0.221014492753623188405797101449275362318840579710144927536232,0.176078942713995119979685992247108386030751158580568620234992,0.273609460680606598657544372495307617869086793427272980397752
